update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,Games,Strat,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
372,1904640,1620.2779369355108,1233,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929,4,0.0,1.9457801103591919,-0.0018597249320009724,-0.000339051410992397,1.3185859756958962e-06,0.0003035103,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929
373,1909760,1629.813487202053,1236,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929,3,0.0,1.945810580253601,-0.0017702644690871239,-0.0002770576280454407,9.891648232951412e-07,0.00026998407,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929
374,1914880,1626.2416500658755,1239,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929,1,0.0,1.9457398891448974,-0.0007049465959426016,-5.7181913166459705e-05,1.1850437900307042e-06,0.0002551646,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929
375,1920000,1623.2053602844164,1243,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929,0,0.0,1.9456945717334748,-0.0005673387320712208,-0.00014103830690146424,9.689711944815826e-07,0.00015607612,0.06581835933029652,0.17296373259778067,0.0,0.804882824420929
376,1925120,1622.0547099238024,1246,0.059328125044703486,0.1704222906620291,0.0,0.804882824420929,4,0.0,1.9457883179187774,-0.0003102492843026994,-1.628940181035432e-05,8.624313878158319e-07,0.0001453596,0.059328125044703486,0.1704222906620291,0.0,0.804882824420929
377,1930240,1624.0979460657734,1249,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929,1,0.0,1.9458472967147826,-2.04536656383425e-05,1.5504644102293243e-05,4.02480083039336e-07,0.00013787067,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929
378,1935360,1598.067308354179,1252,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929,2,0.0,1.945879912376404,-0.0004777751339133829,-6.0863680243983256e-05,3.367880985649663e-07,8.351312e-05,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929
379,1940480,1545.2900051104696,1255,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929,0,0.0,1.945757508277893,-0.00013792861991532846,-5.8621338848752205e-05,8.599249753160621e-07,0.00020753953,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929
380,1945600,1560.5306266005098,1259,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929,8,0.0,1.9457948744297027,0.00040504620847059414,7.27008963622211e-05,4.954283951974503e-07,0.000101144054,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929
381,1950720,1583.214341060068,1262,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929,2,0.0,1.9457829535007476,0.000548874145897571,0.00016542414996365551,6.8891632309942e-07,0.00015142885,0.059328125044703486,0.17042229066202913,0.0,0.804882824420929
382,1955840,1622.4259029237205,1265,0.04782812483608723,0.15806977528468186,0.0,0.804882824420929,1,0.0,1.945772898197174,0.0001283894423977472,1.2439518559403951e-05,4.288180832645594e-07,0.00014939727,0.04782812483608723,0.15806977528468186,0.0,0.804882824420929
383,1960960,1529.0135633613804,1268,0.03554589860141277,0.14133629832889788,0.0,0.804882824420929,2,0.0,1.9457799732685088,0.0005644695658702404,8.791492218733765e-05,3.694609397086879e-07,7.900038e-05,0.03554589860141277,0.14133629832889788,0.0,0.804882824420929
384,1966080,1274.6947790597305,1272,0.0297236330807209,0.13784054097921378,0.0,0.804882824420929,4,0.0,1.9458283185958862,0.0005027030347264372,0.00011701171442837221,3.612245492945476e-07,0.00012186308,0.0297236330807209,0.13784054097921378,0.0,0.804882824420929
385,1971200,1195.8441484965188,1277,0.009601562470197677,0.05996173840788168,0.0,0.3840624988079071,1,0.0,1.9458443164825439,0.000244418135844171,3.591178178794507e-05,2.1397059768446525e-07,8.9719724e-05,0.009601562470197677,0.05996173840788168,0.0,0.3840624988079071
386,1976320,1516.654117597206,1280,0.0,0.0,0.0,0.0,2,0.0,1.9457870066165923,0.00034731832856778057,9.049370455613826e-05,3.200868803787671e-07,0.00013708629,0.0,0.0,0.0,0.0
387,1981440,1528.0583158456193,1283,0.0,0.0,0.0,0.0,0,0.0,1.9458314716815948,0.00031937507519614884,2.0561405972330248e-05,1.973045158365494e-07,5.9297105e-05,0.0,0.0,0.0,0.0
388,1986560,1593.623829484588,1287,0.0,0.0,0.0,0.0,0,0.0,1.9458372712135314,0.0004640326340449974,6.513285125038237e-05,2.3370551289758622e-07,9.850756e-05,0.0,0.0,0.0,0.0
389,1991680,1611.0728986966903,1290,0.0,0.0,0.0,0.0,0,0.0,1.945857322216034,0.00044920125801581887,7.887812535045668e-05,1.5188581983238692e-07,7.1758725e-05,0.0,0.0,0.0,0.0
390,1996800,1369.8532820148473,1294,0.0,0.0,0.0,0.0,4,0.0,1.9456869423389436,0.000645297407754697,2.3063761432240426e-05,5.22834752274548e-06,0.00036629353,0.0,0.0,0.0,0.0
391,2001920,1328.5914361220746,1298,0.014593750238418579,0.09113794102805017,0.0,0.5837500095367432,2,0.0,1.9430814981460571,0.0038860635278979315,-0.0014570124802958163,0.00024078861656562367,0.004041237,0.014593750238418579,0.09113794102805017,0.0,0.5837500095367432
392,2007040,1532.3199950908304,1301,0.014593750238418579,0.09113794102805017,0.0,0.5837500095367432,4,0.0,1.9442906618118285,0.0016267819177301136,0.00023165400734797003,6.65034940084297e-05,0.0010701276,0.014593750238418579,0.09113794102805017,0.0,0.5837500095367432
393,2012160,1567.3333337225847,1304,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432,4,0.0,1.9447301268577575,0.002461660688277334,-0.00038062800616671665,1.68866306239579e-05,0.0009110123,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432
394,2017280,1599.7260801138493,1307,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432,1,0.0,1.945830100774765,0.0004441124008735642,8.427674729318823e-05,9.964810999463224e-07,0.00018747931,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432
395,2022400,1574.9927010725435,1311,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432,0,0.0,1.9458125054836273,0.001021607013535686,0.00018620674054545817,5.671825974218337e-07,0.00014794772,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432
396,2027520,1505.7666907006858,1314,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432,3,0.0,1.9458600878715515,0.0008087550027994439,0.00015897959183348577,4.8262086380646e-07,0.00011797476,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432
397,2032640,1412.5223032227987,1318,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432,1,0.0,1.9454197704792022,0.001830257792607881,-0.0001569090694829356,3.14278427708814e-05,0.0010017001,0.01982714869081974,0.09602876855458271,0.0,0.5837500095367432
398,2037760,1365.540222317364,1321,0.029463867470622063,0.11162963174099831,0.0,0.5837500095367432,3,0.0,1.9452586770057678,0.0012676124257268383,-0.000502430339656712,8.038383427901862e-05,0.0013795805,0.029463867470622063,0.11162963174099831,0.0,0.5837500095367432
399,2042880,1526.6624097520596,1325,0.029463867470622063,0.11162963174099831,0.0,0.5837500095367432,0,0.0,1.9453561365604402,0.0015228037897031753,9.064263485925039e-05,2.2490828416721343e-05,0.00080096844,0.029463867470622063,0.11162963174099831,0.0,0.5837500095367432
400,2048000,1619.2469249343078,1328,0.043125976249575614,0.1376065877529005,0.0,0.5837500095367432,9,0.0,1.9446829497814178,0.004139433649834245,-0.0004931144296278945,0.00013722693774980143,0.0021210832,0.043125976249575614,0.1376065877529005,0.0,0.5837500095367432
401,2053120,1627.6064529042897,1331,0.043125976249575614,0.1376065877529005,0.0,0.5837500095367432,2,0.0,1.945771485567093,0.0019202142138965428,0.0003842656973574776,3.692831887747161e-06,0.00035322038,0.043125976249575614,0.1376065877529005,0.0,0.5837500095367432
402,2058240,1610.5759343399004,1334,0.043125976249575614,0.1376065877529005,0.0,0.5837500095367432,0,0.0,1.9458493292331696,0.0012034871499054134,0.00024895496426324826,2.4720538306155503e-06,0.00026142402,0.043125976249575614,0.1376065877529005,0.0,0.5837500095367432
403,2063360,1620.2031233378175,1337,0.047568359225988385,0.13900382973640646,0.0,0.5837500095367432,3,0.0,1.9442560732364655,0.002856417209841311,-0.00022267298791120994,6.86556553318951e-05,0.0017584509,0.047568359225988385,0.13900382973640646,0.0,0.5837500095367432
404,2068480,1629.8282068299998,1341,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432,3,0.0,1.9457008004188538,0.0038277772953733804,0.0006034693127730861,6.999100310167705e-06,0.00042734458,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432
405,2073600,1622.8902251311622,1344,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432,0,0.0,1.9456554651260376,0.002698946266900748,0.0005533757081138902,5.516845294550876e-06,0.0005307596,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432
406,2078720,1616.9499265759848,1347,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432,2,0.0,1.9458511352539063,0.002256066701374948,0.0004881100845523179,1.2030383913952391e-06,0.0001755644,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432
407,2083840,1632.8069088292987,1350,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432,0,0.0,1.945873212814331,0.002088286483194679,0.00038581869594054294,5.802923347175693e-07,0.00014855115,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432
408,2088960,1624.101016751699,1353,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432,0,0.0,1.9458808422088623,0.0018084662267938256,0.0002693183414521627,5.350773705004031e-07,0.0001024332,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432
409,2094080,1621.4541024195978,1356,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432,0,0.0,1.9458882868289948,0.001634445827221498,0.0003112049831543118,2.2139679920485377e-07,8.821943e-05,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432
410,2099200,1630.4298362048983,1359,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432,3,0.0,1.9458774983882905,0.0014697114995215089,0.0002505313794245012,5.421242715186736e-07,0.00012433148,0.047568359225988385,0.13900382973640643,0.0,0.5837500095367432
411,2104320,1629.2922869436588,1363,0.032974608987569806,0.10944581674099625,0.0,0.5464843511581421,2,0.0,1.9458853125572204,0.0014123422442935407,0.0002380542406172026,2.619348993704307e-07,9.980799e-05,0.032974608987569806,0.10944581674099625,0.0,0.5464843511581421
412,2109440,1630.7963275174277,1366,0.044817382097244264,0.12910137450478829,0.0,0.5464843511581421,5,0.0,1.9441093742847442,0.003333705087425187,-0.0012232256962306566,3.950971331505571e-05,0.0024971312,0.044817382097244264,0.12910137450478829,0.0,0.5464843511581421
413,2114560,1628.364103014396,1369,0.0395839836448431,0.12654379677177774,0.0,0.5464843511581421,4,0.0,1.9458376824855805,-3.0022663668205497e-05,6.585507819636404e-05,3.6584693532404344e-06,0.00031696266,0.0395839836448431,0.12654379677177774,0.0,0.5464843511581421
414,2119680,1628.877667056235,1372,0.0395839836448431,0.12654379677177777,0.0,0.5464843511581421,1,0.0,1.94585622549057,0.0003233227491364232,6.75472304237701e-05,1.7856916059599825e-06,0.00021066409,0.0395839836448431,0.12654379677177777,0.0,0.5464843511581421
415,2124800,1626.7880112045073,1375,0.0395839836448431,0.12654379677177777,0.0,0.5464843511581421,0,0.0,1.9457422256469727,0.001374128891620785,0.00019488702673697844,3.932689958219271e-06,0.0003105023,0.0395839836448431,0.12654379677177777,0.0,0.5464843511581421
416,2129920,1626.3920321557762,1378,0.0395839836448431,0.12654379677177774,0.0,0.5464843511581421,3,0.0,1.9454892218112945,0.001360462128650397,0.0003025388034075149,4.842318975306625e-06,0.00037641497,0.0395839836448431,0.12654379677177774,0.0,0.5464843511581421
417,2135040,1623.4696823894571,1382,0.0395839836448431,0.12654379677177774,0.0,0.5464843511581421,1,0.0,1.9450378894805909,0.0027498845010995865,0.00020089960562472698,6.013658975234648e-06,0.0004296534,0.0395839836448431,0.12654379677177774,0.0,0.5464843511581421
418,2140160,1530.2445231793015,1385,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815,5,0.0,1.9419249951839448,0.004985019110608846,-0.0013762196111201774,0.0001972921277229034,0.002457763,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815
419,2145280,1595.8207147354562,1388,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815,0,0.0,1.9456022441387177,-0.0018490268965251743,-0.00045325094179133886,5.334622801456135e-06,0.00041585424,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815
420,2150400,1630.187621410998,1391,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815,7,0.0,1.9457854568958282,0.00043898216499655974,0.00011998750806014868,1.367727691103937e-06,0.00020883777,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815
421,2155520,1618.7004920736213,1394,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815,2,0.0,1.9457615852355956,0.0009840659709880128,0.00023384859960060567,1.2511887973687409e-06,0.00016331543,0.032649414241313936,0.10773866268237847,0.0,0.47371092438697815
422,2160640,1458.9360209392712,1398,0.035817382857203484,0.10859171136969524,0.0,0.47371092438697815,1,0.0,1.9438230335712432,0.002485295303631574,-1.983109245884407e-05,3.639218107309716e-05,0.0009118418,0.035817382857203484,0.10859171136969524,0.0,0.47371092438697815
423,2165760,1553.6752009121717,1401,0.03137499988079071,0.10630740056578467,0.0,0.47371092438697815,2,0.0,1.945814961194992,0.0003300938493339345,5.635291340695403e-05,1.0838464227447276e-06,0.00017865628,0.03137499988079071,0.10630740056578467,0.0,0.47371092438697815
424,2170880,1499.0538249234203,1405,0.03137499988079071,0.10630740056578467,0.0,0.47371092438697815,3,0.0,1.9454790115356446,0.00038340863247867676,0.0001384138799039647,1.5317001818004883e-06,0.0002323417,0.03137499988079071,0.10630740056578467,0.0,0.47371092438697815
425,2176000,1482.920423225604,1408,0.04119628891348839,0.12019496055526503,0.0,0.47371092438697815,1,0.0,1.9434555411338805,0.0017339870537398383,-0.0007226420040751691,1.57943727074894e-05,0.0013288604,0.04119628891348839,0.12019496055526503,0.0,0.47371092438697815
426,2181120,1601.0720278397046,1411,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147,2,0.0,1.9437938690185548,0.003976183425402268,-0.002123334123461973,8.882438012278727e-05,0.0022871303,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147
427,2186240,1603.1701787621148,1414,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147,0,0.0,1.9457558512687683,-0.0008348186558578164,-0.00020872542227152736,4.014016769815498e-06,0.0003510949,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147
428,2191360,1624.882945492196,1418,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147,0,0.0,1.9457150042057036,-0.0003504626984067727,-0.00015668724099668908,3.6038929380310945e-06,0.00041894283,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147
429,2196480,1624.0629410669014,1421,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147,0,0.0,1.945113867521286,0.0022994770552031696,8.371391995751765e-05,1.615428252534912e-05,0.0008981022,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147
430,2201600,1590.8607285093822,1424,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147,3,0.0,1.9445933163166047,0.0026073892368003726,-6.841438153060153e-05,2.1633971391565866e-05,0.00088568934,0.058716797083616254,0.1580348973010311,0.0,0.7008203268051147
431,2206720,1511.95168927301,1427,0.06797558590769767,0.17245486717221967,0.0,0.7008203268051147,3,0.0,1.940833568572998,0.006424177042208612,-0.0011387037113308907,0.00026929942487186054,0.003427685,0.06797558590769767,0.17245486717221967,0.0,0.7008203268051147
