update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
101,517120,1634.252650001754,344,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9457937180995941,-0.0018478200770914554,-0.0001584814897796605,2.183825745305512e-06,0.0004413342,0.10834765583276748,0.21943530731935562,0.0,0.70703125
102,522240,1629.775761638528,347,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9457854747772216,-0.0005895587193663232,-0.0001255994436178298,1.4922061353672688e-06,0.00031969484,0.10834765583276748,0.21943530731935562,0.0,0.70703125
103,527360,1624.5316418810548,350,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9457943260669708,-0.0010967645474011078,-0.00024612621164123996,1.2075856403725993e-06,0.00034722476,0.10834765583276748,0.21943530731935562,0.0,0.70703125
104,532480,1585.2804303078103,353,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.945833158493042,-0.0002884821014049521,-6.38564991277235e-05,7.580608155421942e-07,0.0002348629,0.10834765583276748,0.21943530731935562,0.0,0.70703125
105,537600,1587.3977972294726,356,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9458641707897186,-0.00027987904177280144,-3.873378543630679e-05,4.292888093004876e-07,0.000142799,0.10834765583276748,0.21943530731935562,0.0,0.70703125
106,542720,1634.0426195040204,359,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9458694219589234,-2.1777342772111298e-05,3.356386332598049e-06,4.939965435823978e-07,0.0002932516,0.10834765583276748,0.21943530731935562,0.0,0.70703125
107,547840,1619.3250692205472,363,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9458702325820922,-0.0002516278082111967,-4.0595193740955435e-05,3.2378237477814766e-07,0.00014789551,0.10834765583276748,0.21943530731935562,0.0,0.70703125
108,552960,1624.75128102873,366,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.945878666639328,4.4441519457905086e-05,-1.1619675603924406e-05,3.0240476505127846e-07,0.00010274721,0.10834765583276748,0.21943530731935562,0.0,0.70703125
109,558080,1625.5986832209762,369,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.945880115032196,0.00017829005228122696,6.385103133652593e-05,2.2965820249964964e-07,0.000113302565,0.10834765583276748,0.21943530731935562,0.0,0.70703125
110,563200,1613.571299656485,372,0.09067187458276749,0.19792005979821428,0.0,0.5762500166893005,1.9458290934562683,-1.4762720934413664e-05,-1.1644883397821103e-05,4.896275342503032e-07,0.00018624647,0.09067187458276749,0.19792005979821428,0.0,0.5762500166893005
111,568320,1618.2661233471047,375,0.07841601520776749,0.1877136753383354,0.0,0.5762500166893005,1.9457036674022674,0.00035833243273373225,6.260893624130404e-05,1.5639539157064064e-06,0.00029267624,0.07841601520776749,0.1877136753383354,0.0,0.5762500166893005
112,573440,1614.8442334582483,378,0.06403320282697678,0.170325079206114,0.0,0.5762500166893005,1.9451969742774964,0.0021144266473129393,0.00018610577772051328,2.5340382819649676e-05,0.0012468017,0.06403320282697678,0.170325079206114,0.0,0.5762500166893005
113,578560,1620.5606284457456,382,0.07425585910677909,0.17826121035088704,0.0,0.5762500166893005,1.9449125409126282,0.004354256327496841,-0.0006113344599725679,9.288046101119107e-05,0.0030561173,0.07425585910677909,0.17826121035088704,0.0,0.5762500166893005
114,583680,1626.3701074003168,385,0.07425585910677909,0.17826121035088704,0.0,0.5762500166893005,1.9457214295864105,-0.002303807914722711,-0.0002327176107428386,2.3821478407626273e-06,0.00033383956,0.07425585910677909,0.17826121035088704,0.0,0.5762500166893005
115,588800,1635.853214973088,388,0.059849608689546585,0.15939703266935898,0.0,0.5420312285423279,1.9458197712898255,-0.000911077595083043,-0.00018035053744824836,6.708154330681282e-07,0.00017926033,0.059849608689546585,0.15939703266935898,0.0,0.5420312285423279
116,593920,1628.9388272112453,391,0.03425390645861626,0.12098005597621392,0.0,0.5204687714576721,1.9437456965446471,0.0017381152782036224,-0.001735612188349478,0.00010080720699079393,0.0028195095,0.03425390645861626,0.12098005597621392,0.0,0.5204687714576721
117,599040,1619.1143411044125,394,0.03425390645861626,0.12098005597621392,0.0,0.5204687714576721,1.9458027720451354,-0.0017096513358410448,-0.00030067759871599264,2.3822924049454743e-06,0.0003380499,0.03425390645861626,0.12098005597621392,0.0,0.5204687714576721
