update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,Games,Strat,return_mean,return_std,return_min,return_max
458,2344960,1632.7167823427121,1459,0.04587695300579071,0.15443969916923792,0.0,0.6695312261581421,1.9458890974521637,-0.0053759044734761115,-0.0008309830242069438,2.2364554013165616e-06,0.00021838231,1,0.0,0.04587695300579071,0.15443969916923792,0.0,0.6695312261581421
459,2350080,1637.8765422946417,1462,0.02997363209724426,0.12223449692566687,0.0,0.6695312261581421,1.9457627594470979,-0.0060952034778893,-0.0012339552122284658,1.4183383285626405e-05,0.0007199588,6,0.0,0.02997363209724426,0.12223449692566687,0.0,0.6695312261581421
460,2355200,1637.297367564126,1465,0.032847655564546586,0.12549414425021715,0.0,0.6695312261581421,1.9433342516422272,-0.0017142199394584168,-0.0011885777224961203,3.979035084284987e-05,0.0014071685,7,0.0,0.032847655564546586,0.12549414425021715,0.0,0.6695312261581421
461,2360320,1647.863978324611,1469,0.032847655564546586,0.12549414425021715,0.0,0.6695312261581421,1.9450340807437896,-0.006055729929357767,-0.0011001799459336326,1.0120399383595214e-05,0.0008375874,0,0.0,0.032847655564546586,0.12549414425021715,0.0,0.6695312261581421
462,2365440,1641.5226903351454,1472,0.032847655564546586,0.12549414425021715,0.0,0.6695312261581421,1.9451661586761475,-0.00698818548116833,-0.001166693403501995,5.612183173298035e-06,0.00075192994,2,0.0,0.032847655564546586,0.12549414425021715,0.0,0.6695312261581421
463,2370560,1615.8438689413106,1475,0.016109374910593034,0.07322182179617444,0.0,0.41499999165534973,1.9452513992786407,-0.0018028221384156495,-0.0006064786583010573,2.1836165490185522e-05,0.00087040506,3,0.0,0.016109374910593034,0.07322182179617444,0.0,0.41499999165534973
464,2375680,1616.5293952395161,1478,0.016109374910593034,0.07322182179617444,0.0,0.41499999165534973,1.9453320801258087,0.0007376427536655683,0.0002206912590736465,2.839489417283403e-06,0.00045969832,0,0.0,0.016109374910593034,0.07322182179617444,0.0,0.41499999165534973
465,2380800,1637.8945309922894,1481,0.016109374910593034,0.07322182179617444,0.0,0.41499999165534973,1.9454469084739685,0.0007539697242464171,5.147065617165936e-05,7.46648031508812e-06,0.0007253527,0,0.0,0.016109374910593034,0.07322182179617444,0.0,0.41499999165534973
466,2385920,1630.7622715510577,1484,0.022819335758686065,0.08307326914243099,0.0,0.41499999165534973,1.9440985083580018,0.0023085748311132193,-0.000590911070776201,5.5061426201064025e-05,0.0010356145,2,0.0,0.022819335758686065,0.08307326914243099,0.0,0.41499999165534973
467,2391040,1632.3177880515557,1487,0.022819335758686065,0.083073269142431,0.0,0.41499999165534973,1.9440864384174348,0.004278528748545796,0.00025755186416063223,2.9583944569822052e-05,0.00097463944,2,0.0,0.022819335758686065,0.083073269142431,0.0,0.41499999165534973
